,10,14,21,22,23,25,27,29,31,32,11,17,20,24,26,28,30,33,34
10,171,529,813,489,323,395,506,636,560,1102,207,769,1091,813,565,410,555,1182,607
14,529,413,987,664,538,571,685,812,730,1231,522,902,1203,968,714,606,700,1286,793
21,813,987,749,938,859,884,944,1058,1004,1331,808,1148,1112,1188,993,904,1018,1380,1046
22,489,664,938,333,469,493,639,799,722,1172,486,888,1190,901,631,583,689,1244,768
23,323,538,859,469,169,384,504,662,578,1078,311,806,1125,758,552,460,575,1164,636
25,395,571,884,493,384,233,588,698,650,1136,387,841,1159,884,445,534,600,1217,674
27,506,685,944,639,504,588,379,770,716,1198,497,907,1185,957,734,602,744,1273,745
29,636,812,1058,799,662,698,770,540,889,1291,626,1031,1273,1040,839,720,850,1348,611
31,560,730,1004,722,578,650,716,889,462,1208,556,995,1232,997,797,659,728,1279,878
32,1102,1231,1331,1172,1078,1136,1198,1291,1208,1008,1091,1369,1493,1345,1211,1215,1237,1212,1293
11,207,522,808,486,311,387,497,626,556,1091,164,761,1098,805,559,411,543,1178,597
17,769,902,1148,888,806,841,907,1031,995,1369,761,697,1355,1162,959,838,962,1414,1012
20,1091,1203,1112,1190,1125,1159,1185,1273,1232,1493,1098,1355,1053,1361,1243,1129,1241,1519,1258
24,813,968,1188,901,758,884,957,1040,997,1345,805,1162,1361,715,993,897,1016,1393,1028
26,565,714,993,631,552,445,734,839,797,1211,559,959,1243,993,406,703,743,1291,814
28,410,606,904,583,460,534,602,720,659,1215,411,838,1129,897,703,328,706,1266,696
30,555,700,1018,689,575,600,744,850,728,1237,543,962,1241,1016,743,706,441,1297,825
33,1182,1286,1380,1244,1164,1217,1273,1348,1279,1212,1178,1414,1519,1393,1291,1266,1297,1106,1351
34,607,793,1046,768,636,674,745,611,878,1293,597,1012,1258,1028,814,696,825,1351,508
