,10,14,21,22,23,25,27,29,31,32,11,17,20,24,26,28,30,33,34
10,41,633,868,460,300,161,573,612,219,944,42,750,1148,912,235,240,314,980,640
14,633,609,1207,882,777,704,962,971,749,1249,619,1078,1391,1164,760,730,794,1267,996
21,868,1207,849,1080,990,935,1137,1136,918,1323,857,1255,1173,1329,974,946,1013,1342,1150
22,460,882,1080,424,637,522,838,870,540,1141,435,941,1285,1121,580,568,637,1175,886
23,300,777,990,637,267,375,704,735,411,1036,277,885,1237,911,450,449,509,1067,770
25,161,704,935,522,375,123,645,676,290,998,136,794,1212,978,227,315,376,1046,700
27,573,962,1137,838,704,645,537,918,639,1160,550,1042,1316,1101,692,668,713,1188,946
29,612,971,1136,870,735,676,918,582,686,1213,594,1046,1330,1137,732,735,754,1228,678
31,219,749,918,540,411,290,639,686,178,1000,191,820,1180,972,357,359,398,1031,710
32,944,1249,1323,1141,1036,998,1160,1213,1000,929,934,1305,1471,1308,1033,1030,1076,1052,1243
11,42,619,857,435,277,136,550,594,191,934,13,728,1142,896,212,215,286,973,621
17,750,1078,1255,941,885,794,1042,1046,820,1305,728,716,1447,1254,829,806,883,1333,1072
20,1148,1391,1173,1285,1237,1212,1316,1330,1180,1471,1142,1447,1136,1460,1232,1197,1261,1480,1342
24,912,1164,1329,1121,911,978,1101,1137,972,1308,896,1254,1460,892,1019,995,1013,1323,1146
26,235,760,974,580,450,227,692,732,357,1033,212,829,1232,1019,199,384,442,1077,762
28,240,730,946,568,449,315,668,735,359,1030,215,806,1197,995,384,202,472,1070,762
30,314,794,1013,637,509,376,713,754,398,1076,286,883,1261,1013,442,472,273,1098,774
33,980,1267,1342,1175,1067,1046,1188,1228,1031,1052,973,1333,1480,1323,1077,1070,1098,968,1262
34,640,996,1150,886,770,700,946,678,710,1243,621,1072,1342,1146,762,762,774,1262,609
