date,date_index,group
2018-01-10 07:48:30,95,"[24, 29, 27, 23, 34, 33, 32]"
2018-01-10 07:48:30,95,"[14, 22]"
2018-01-10 07:48:00,96,"[20, 24, 23, 33, 32]"
2018-01-10 07:48:00,96,"[34, 29, 27]"
2018-01-10 07:49:30,97,"[20, 24, 14, 33, 32]"
2018-01-10 07:49:30,97,"[34, 29, 27]"
2018-01-10 07:49:00,98,"[20, 24, 33, 32]"
2018-01-10 07:49:00,98,"[34, 29, 27]"
2018-01-10 07:50:30,99,"[20, 24, 21, 33, 32]"
2018-01-10 07:50:30,99,"[27, 29]"
2018-01-10 07:50:00,100,"[20, 29, 27, 24, 33, 32]"
2018-01-10 07:51:30,101,"[20, 24, 33, 32]"
2018-01-10 07:51:30,101,"[27, 29]"
2018-01-10 07:51:00,102,"[20, 24, 33, 32]"
2018-01-10 07:51:00,102,"[14, 22]"
2018-01-10 07:51:00,102,"[27, 29]"
2018-01-10 07:52:30,103,"[20, 33, 24, 32]"
2018-01-10 07:52:30,103,"[14, 22]"
2018-01-10 07:52:30,103,"[27, 29]"
2018-01-10 07:52:00,104,"[20, 24, 33, 32]"
2018-01-10 07:52:00,104,"[34, 29, 27]"
2018-01-10 07:52:00,104,"[14, 22]"
2018-01-10 07:53:30,105,"[20, 24, 23, 21, 33, 32]"
2018-01-10 07:53:30,105,"[34, 29, 27]"
2018-01-10 07:53:30,105,"[14, 22]"
2018-01-10 07:53:00,106,"[20, 29, 27, 24, 23, 34, 33, 32]"
2018-01-10 07:53:00,106,"[14, 22]"
2018-01-10 07:54:30,107,"[20, 29, 27, 24, 23, 34, 33, 32]"
2018-01-10 07:54:00,108,"[20, 22, 14]"
2018-01-10 07:54:00,108,"[24, 23, 32, 33]"
2018-01-10 07:54:00,108,"[34, 29, 27]"
2018-01-10 07:55:30,109,"[20, 29, 27, 24, 21, 34, 33, 32]"
2018-01-10 07:55:00,110,"[20, 29, 27, 24, 34, 33, 32]"
2018-01-10 07:56:30,111,"[20, 29, 27, 24, 23, 21, 33, 32]"
2018-01-10 07:56:00,112,"[20, 29, 27, 24, 21, 33, 32]"
2018-01-10 07:57:30,113,"[20, 29, 27, 24, 14, 33, 32]"
2018-01-10 07:57:00,114,"[20, 29, 27, 24, 34, 33]"
2018-01-10 07:58:30,115,"[20, 29, 27, 24, 34, 33]"
2018-01-10 07:58:00,116,"[20, 21, 14, 33, 32]"
2018-01-10 07:58:00,116,"[24, 29, 27]"
2018-01-10 07:59:30,117,"[20, 21]"
2018-01-10 07:59:30,117,"[24, 29, 27]"
2018-01-10 07:59:30,117,"[33, 14]"
2018-01-10 07:59:00,118,"[20, 21]"
2018-01-10 07:59:00,118,"[24, 29, 27]"
2018-01-10 07:59:00,118,"[33, 14, 32]"
2018-01-10 07:60:30,119,"[20, 21]"
2018-01-10 07:60:30,119,"[24, 29, 27]"
2018-01-10 07:60:30,119,"[33, 32]"
2018-01-10 08:00:00,120,"[20, 29, 27, 24, 21, 34, 33, 32]"
2018-01-10 08:01:30,121,"[20, 21]"
2018-01-10 08:01:30,121,"[24, 29, 27, 33, 32]"
2018-01-10 08:01:00,122,"[20, 21]"
2018-01-10 08:01:00,122,"[24, 29, 33, 32]"
2018-01-10 08:02:30,123,"[20, 21]"
2018-01-10 08:02:30,123,"[24, 29, 27, 33, 32]"
2018-01-10 08:02:00,124,"[20, 21]"
2018-01-10 08:02:00,124,"[24, 29, 27, 33, 32]"
2018-01-10 08:03:30,125,"[20, 21]"
2018-01-10 08:03:30,125,"[24, 29, 27]"
2018-01-10 08:03:00,126,"[20, 21]"
2018-01-10 08:03:00,126,"[24, 29, 27, 32]"
2018-01-10 08:04:30,127,"[20, 21]"
2018-01-10 08:04:30,127,"[24, 29, 27, 34]"
2018-01-10 08:04:00,128,"[20, 21]"
2018-01-10 08:04:00,128,"[24, 32]"
2018-01-10 08:04:00,128,"[27, 29]"
2018-01-10 08:05:30,129,"[20, 21]"
2018-01-10 08:05:30,129,"[34, 29, 27, 32]"
2018-01-10 08:05:00,130,"[20, 21]"
2018-01-10 08:05:00,130,"[24, 27, 32]"
2018-01-10 08:05:00,130,"[34, 14, 29]"
2018-01-10 08:06:30,131,"[34, 14, 29]"
2018-01-10 08:06:00,132,"[20, 24]"
2018-01-10 08:06:00,132,"[34, 14, 29]"
2018-01-10 08:07:30,133,"[20, 21, 24]"
2018-01-10 08:07:30,133,"[34, 14, 29]"
2018-01-10 08:07:00,134,"[20, 31, 21, 24]"
2018-01-10 08:07:00,134,"[34, 14, 29]"
2018-01-10 08:08:30,135,"[20, 21, 24]"
2018-01-10 08:08:30,135,"[34, 14, 29]"
2018-01-10 08:08:00,136,"[20, 21, 24]"
2018-01-10 08:08:00,136,"[34, 14, 29]"
2018-01-10 08:09:30,137,"[20, 21, 24]"
2018-01-10 08:09:30,137,"[33, 27]"
2018-01-10 08:09:30,137,"[34, 14, 29]"
2018-01-10 08:09:00,138,"[20, 21, 24]"
2018-01-10 08:09:00,138,"[33, 27, 32]"
2018-01-10 08:09:00,138,"[34, 14, 29]"
2018-01-10 08:10:30,139,"[20, 21, 24]"
2018-01-10 08:10:30,139,"[34, 14, 29]"
2018-01-10 08:10:00,140,"[20, 21, 24]"
2018-01-10 08:11:30,141,"[20, 21, 24]"
2018-01-10 08:11:30,141,"[33, 27, 32]"
2018-01-10 08:11:00,142,"[20, 27, 24, 33, 32]"
2018-01-10 08:12:30,143,"[20, 21, 24]"
2018-01-10 08:12:30,143,"[26, 14]"
