date,date_index,group
2018-01-10 07:00:00,0,"[24, 28]"
2018-01-10 07:02:15,5,"[24, 28]"
2018-01-10 07:05:15,17,"[24, 28]"
2018-01-10 07:05:00,20,"[28, 21]"
2018-01-10 07:06:15,21,"[24, 28]"
2018-01-10 07:06:15,21,"[33, 32]"
2018-01-10 07:06:30,22,"[20, 21, 28, 24]"
2018-01-10 07:06:30,22,"[33, 32]"
2018-01-10 07:06:45,23,"[33, 14, 32]"
2018-01-10 07:06:00,24,"[20, 14, 21]"
2018-01-10 07:06:00,24,"[33, 32]"
2018-01-10 07:07:15,25,"[33, 32]"
2018-01-10 07:07:30,26,"[20, 33]"
2018-01-10 07:07:00,28,"[24, 28]"
2018-01-10 07:07:00,28,"[33, 32]"
2018-01-10 07:08:15,29,"[24, 28, 14, 33, 32]"
2018-01-10 07:08:30,30,"[33, 14]"
2018-01-10 07:08:45,31,"[33, 32]"
2018-01-10 07:08:00,32,"[33, 32]"
2018-01-10 07:09:15,33,"[24, 28]"
2018-01-10 07:09:30,34,"[33, 32]"
2018-01-10 07:09:45,35,"[33, 32]"
2018-01-10 07:09:00,36,"[33, 32]"
2018-01-10 07:10:15,37,"[33, 32]"
2018-01-10 07:10:45,39,"[33, 32]"
2018-01-10 07:10:00,40,"[33, 32]"
2018-01-10 07:11:30,42,"[33, 32]"
2018-01-10 07:11:45,43,"[33, 32]"
2018-01-10 07:11:00,44,"[33, 32]"
2018-01-10 07:12:45,47,"[33, 32]"
2018-01-10 07:12:00,48,"[24, 28]"
2018-01-10 07:13:30,50,"[28, 32]"
2018-01-10 07:14:15,53,"[24, 28]"
2018-01-10 07:14:30,54,"[24, 28, 32, 33]"
2018-01-10 07:14:45,55,"[20, 24]"
2018-01-10 07:14:45,55,"[28, 32]"
2018-01-10 07:14:00,56,"[20, 21, 24]"
2018-01-10 07:14:00,56,"[28, 32]"
2018-01-10 07:15:15,57,"[28, 32]"
2018-01-10 07:15:30,58,"[28, 32]"
2018-01-10 07:15:45,59,"[28, 32]"
2018-01-10 07:17:45,67,"[24, 26]"
2018-01-10 07:17:00,68,"[20, 33]"
2018-01-10 07:18:15,69,"[33, 32]"
2018-01-10 07:18:30,70,"[20, 33]"
2018-01-10 07:18:45,71,"[26, 28]"
2018-01-10 07:18:45,71,"[33, 32]"
2018-01-10 07:18:00,72,"[24, 28, 22, 33, 32]"
2018-01-10 07:19:15,73,"[28, 22, 33, 32]"
2018-01-10 07:19:30,74,"[33, 32]"
2018-01-10 07:19:45,75,"[24, 33, 22, 32]"
2018-01-10 07:20:15,77,"[24, 33, 32]"
2018-01-10 07:20:15,77,"[14, 22]"
2018-01-10 07:20:30,78,"[24, 22]"
2018-01-10 07:20:30,78,"[33, 32]"
2018-01-10 07:20:45,79,"[33, 22, 32]"
2018-01-10 07:21:30,82,"[20, 21]"
2018-01-10 07:21:45,83,"[20, 24, 32]"
2018-01-10 07:21:00,84,"[20, 21]"
2018-01-10 07:22:15,85,"[20, 21, 33]"
2018-01-10 07:22:45,87,"[20, 21, 33, 24]"
2018-01-10 07:22:00,88,"[20, 33, 24]"
2018-01-10 07:23:15,89,"[20, 14, 24]"
2018-01-10 07:23:15,89,"[34, 29]"
2018-01-10 07:23:30,90,"[20, 24]"
2018-01-10 07:23:45,91,"[20, 23, 21, 24]"
2018-01-10 07:23:45,91,"[34, 29]"
2018-01-10 07:23:00,92,"[20, 23, 24]"
2018-01-10 07:23:00,92,"[33, 21]"
2018-01-10 07:23:00,92,"[34, 29, 32]"
2018-01-10 07:24:15,93,"[20, 29, 24, 23, 21, 14, 34]"
2018-01-10 07:24:30,94,"[20, 14, 21, 24]"
2018-01-10 07:24:45,95,"[20, 34]"
2018-01-10 07:24:45,95,"[24, 14, 21]"
2018-01-10 07:24:00,96,"[20, 23, 22, 24]"
2018-01-10 07:25:15,97,"[20, 22, 24]"
2018-01-10 07:25:30,98,"[20, 22]"
2018-01-10 07:25:30,98,"[24, 21]"
2018-01-10 07:25:45,99,"[20, 22]"
2018-01-10 07:25:45,99,"[24, 21]"
2018-01-10 07:25:45,99,"[33, 34, 32]"
2018-01-10 07:25:00,100,"[20, 22, 24]"
2018-01-10 07:26:15,101,"[20, 22, 24]"
2018-01-10 07:26:30,102,"[20, 24]"
2018-01-10 07:26:45,103,"[20, 29, 24]"
2018-01-10 07:26:45,103,"[33, 32]"
2018-01-10 07:26:00,104,"[20, 24]"
2018-01-10 07:27:15,105,"[20, 29, 24, 33, 32]"
2018-01-10 07:27:30,106,"[20, 24]"
2018-01-10 07:27:30,106,"[33, 32]"
2018-01-10 07:27:45,107,"[20, 24]"
2018-01-10 07:27:45,107,"[33, 32]"
2018-01-10 07:27:00,108,"[20, 24]"
2018-01-10 07:27:00,108,"[33, 32]"
2018-01-10 07:28:15,109,"[20, 33, 32]"
2018-01-10 07:28:15,109,"[24, 21]"
2018-01-10 07:28:30,110,"[24, 33, 32]"
2018-01-10 07:28:45,111,"[20, 14]"
2018-01-10 07:28:45,111,"[33, 32]"
2018-01-10 07:29:15,113,"[20, 24, 21, 33, 32]"
2018-01-10 07:29:30,114,"[24, 21]"
2018-01-10 07:29:30,114,"[33, 32]"
2018-01-10 07:29:45,115,"[20, 33, 24]"
2018-01-10 07:29:00,116,"[20, 14, 24]"
2018-01-10 07:29:00,116,"[33, 32]"
2018-01-10 07:30:15,117,"[20, 14, 21, 24]"
2018-01-10 07:30:15,117,"[33, 32]"
2018-01-10 07:30:30,118,"[20, 29, 24]"
2018-01-10 07:30:30,118,"[33, 32]"
2018-01-10 07:30:45,119,"[20, 29, 24, 34, 33, 32]"
2018-01-10 07:30:45,119,"[14, 21]"
2018-01-10 07:30:00,120,"[20, 29, 34, 33, 32]"
2018-01-10 07:30:00,120,"[24, 21]"
2018-01-10 07:31:15,121,"[20, 24, 14, 33, 32]"
2018-01-10 07:31:30,122,"[20, 33, 24]"
2018-01-10 07:31:30,122,"[34, 29]"
2018-01-10 07:31:30,122,"[14, 21]"
2018-01-10 07:31:45,123,"[20, 29, 34, 24]"
2018-01-10 07:31:45,123,"[33, 32]"
2018-01-10 07:31:00,124,"[20, 29, 24, 34, 33, 32]"
2018-01-10 07:31:00,124,"[14, 21]"
2018-01-10 07:32:15,125,"[20, 24, 21, 14, 32]"
2018-01-10 07:32:15,125,"[34, 29]"
2018-01-10 07:32:30,126,"[20, 29, 34]"
2018-01-10 07:32:30,126,"[24, 32]"
2018-01-10 07:32:45,127,"[34, 29]"
2018-01-10 07:32:00,128,"[24, 29, 34, 33]"
