Dia,Macho,Hembra,Discrepancia
2018-01-10,11,10,9.032324633766095
2018-01-10,11,14,85.57234749091678
2018-01-10,11,21,73.37777705002017
2018-01-10,11,22,85.38302902120228
2018-01-10,11,23,89.06235327844433
2018-01-10,11,27,10.706143944503783
2018-01-10,11,29,8.73723432728694
2018-01-10,11,31,84.48265537390604
2018-01-10,11,32,20.441277130675417
2018-01-10,17,10,87.90391734183851
2018-01-10,17,14,8.623660637823068
2018-01-10,17,21,53.59967576933043
2018-01-10,17,22,18.391529952983525
2018-01-10,17,23,66.08865622124446
2018-01-10,17,27,88.37247426674358
2018-01-10,17,29,89.11728729211829
2018-01-10,17,31,16.825202316688507
2018-01-10,17,32,84.47661097034519
2018-01-10,20,10,44.16294632879191
2018-01-10,20,14,59.010274619518576
2018-01-10,20,21,34.61862703108293
2018-01-10,20,22,58.41919168363122
2018-01-10,20,23,54.89456169478506
2018-01-10,20,27,45.873468013940645
2018-01-10,20,29,48.945665911148254
2018-01-10,20,31,54.536757448315775
2018-01-10,20,32,34.61764918927836
2018-01-10,24,10,40.85669469683182
2018-01-10,24,14,74.17796155386486
2018-01-10,24,21,40.16668503518077
2018-01-10,24,22,71.53614887515636
2018-01-10,24,23,55.24462993600713
2018-01-10,24,27,43.966131718142506
2018-01-10,24,29,46.79052599906512
2018-01-10,24,31,67.57690076231955
2018-01-10,24,32,27.839036930367772
2018-01-10,28,10,84.37456433443002
2018-01-10,28,14,23.865735731935672
2018-01-10,28,21,39.30112964935103
2018-01-10,28,22,30.116535860372245
2018-01-10,28,23,51.24558559645991
2018-01-10,28,27,85.10240809520609
2018-01-10,28,29,86.09916097957955
2018-01-10,28,31,13.833348367842552
2018-01-10,28,32,79.63906129098304
2018-01-10,30,10,87.9779765167634
2018-01-10,30,14,35.78591131907092
2018-01-10,30,21,30.53531022334107
2018-01-10,30,22,32.225666323409875
2018-01-10,30,23,37.458519619871716
2018-01-10,30,27,88.67501495713071
2018-01-10,30,29,89.5207393939275
2018-01-10,30,31,21.744692546500715
2018-01-10,30,32,83.4815777854953
2018-01-10,33,10,16.00700536102762
2018-01-10,33,14,84.01205073201852
2018-01-10,33,21,62.1928273523756
2018-01-10,33,22,83.57857077336493
2018-01-10,33,23,76.43476463734063
2018-01-10,33,27,22.059594318664402
2018-01-10,33,29,24.640887522290033
2018-01-10,33,31,81.46765911643654
2018-01-10,33,32,4.627067094969246
2018-01-10,34,10,20.587961554372086
2018-01-10,34,14,82.12424075303109
2018-01-10,34,21,72.28545834165897
2018-01-10,34,22,82.41997015016663
2018-01-10,34,23,90.9314857073954
2018-01-10,34,27,16.25144105000568
2018-01-10,34,29,10.7816048162916
2018-01-10,34,31,81.24080646890731
2018-01-10,34,32,29.486873388331354
2018-01-11,11,10,27.77921339486878
2018-01-11,11,14,88.94916388497336
2018-01-11,11,21,59.11272212116522
2018-01-11,11,22,89.22115924740966
2018-01-11,11,23,91.29044636453763
2018-01-11,11,25,89.40327602130739
2018-01-11,11,27,17.360606088472867
2018-01-11,11,29,11.449760518730098
2018-01-11,11,31,87.51887702791254
2018-01-11,11,32,34.50929686908118
2018-01-11,17,10,33.94039050656774
2018-01-11,17,14,54.57546242002973
2018-01-11,17,21,33.22413423887725
2018-01-11,17,22,55.73603547217408
2018-01-11,17,23,71.63505083264367
2018-01-11,17,25,52.1058445911458
2018-01-11,17,27,37.867920399276194
2018-01-11,17,29,34.69918326199339
2018-01-11,17,31,45.736230629927746
2018-01-11,17,32,38.615365315567175
2018-01-11,20,10,49.815916576807915
2018-01-11,20,14,48.99278697145612
2018-01-11,20,21,23.592200569931446
2018-01-11,20,22,49.671399983284715
2018-01-11,20,23,55.06961088991093
2018-01-11,20,25,46.44611942898654
2018-01-11,20,27,56.98579436142375
2018-01-11,20,29,57.886234037387894
2018-01-11,20,31,26.09709313682826
2018-01-11,20,32,53.5819931153157
2018-01-11,24,10,29.08315672188813
2018-01-11,24,14,71.76417358170565
