date,date_index,group
2018-01-10 07:00:00,0,"[24, 28]"
2018-01-10 07:02:20,4,"[24, 28]"
2018-01-10 07:04:00,12,"[24, 28]"
2018-01-10 07:05:00,15,"[24, 21, 28]"
2018-01-10 07:05:00,15,"[33, 32]"
2018-01-10 07:06:20,16,"[20, 28, 24]"
2018-01-10 07:06:20,16,"[33, 32]"
2018-01-10 07:06:40,17,"[24, 28, 21, 14, 33, 32]"
2018-01-10 07:06:00,18,"[20, 14, 21]"
2018-01-10 07:06:00,18,"[33, 32]"
2018-01-10 07:07:20,19,"[33, 32]"
2018-01-10 07:07:40,20,"[20, 33]"
2018-01-10 07:07:00,21,"[24, 28, 32, 33]"
2018-01-10 07:08:20,22,"[28, 14, 33, 32]"
2018-01-10 07:08:40,23,"[33, 32]"
2018-01-10 07:08:00,24,"[24, 28]"
2018-01-10 07:08:00,24,"[33, 32]"
2018-01-10 07:09:20,25,"[24, 28]"
2018-01-10 07:09:20,25,"[33, 32]"
2018-01-10 07:09:40,26,"[33, 32]"
2018-01-10 07:09:00,27,"[33, 32]"
2018-01-10 07:10:20,28,"[33, 32]"
2018-01-10 07:10:40,29,"[33, 32]"
2018-01-10 07:10:00,30,"[33, 32]"
2018-01-10 07:11:20,31,"[33, 32]"
2018-01-10 07:11:40,32,"[33, 32]"
2018-01-10 07:11:00,33,"[33, 32]"
2018-01-10 07:12:40,35,"[28, 33, 32]"
2018-01-10 07:12:00,36,"[24, 28]"
2018-01-10 07:14:20,40,"[24, 28]"
2018-01-10 07:14:20,40,"[33, 32]"
2018-01-10 07:14:40,41,"[20, 24]"
2018-01-10 07:14:40,41,"[28, 32]"
2018-01-10 07:14:00,42,"[20, 28, 24, 21, 32]"
2018-01-10 07:15:20,43,"[28, 32]"
2018-01-10 07:15:40,44,"[28, 32]"
2018-01-10 07:16:20,46,"[28, 33]"
2018-01-10 07:17:40,50,"[24, 26]"
2018-01-10 07:17:00,51,"[20, 26, 33]"
2018-01-10 07:18:20,52,"[20, 33, 32]"
2018-01-10 07:18:20,52,"[26, 21]"
2018-01-10 07:18:40,53,"[20, 33, 32]"
2018-01-10 07:18:40,53,"[26, 28]"
2018-01-10 07:18:00,54,"[24, 28, 22, 33, 32]"
2018-01-10 07:19:20,55,"[28, 22]"
2018-01-10 07:19:20,55,"[33, 32]"
2018-01-10 07:19:40,56,"[24, 33, 22, 32]"
2018-01-10 07:19:00,57,"[24, 33, 32]"
2018-01-10 07:20:20,58,"[24, 22, 14, 33, 32]"
2018-01-10 07:20:40,59,"[33, 22, 32]"
2018-01-10 07:21:40,62,"[20, 24, 32]"
2018-01-10 07:21:00,63,"[20, 21]"
2018-01-10 07:22:20,64,"[20, 21, 33]"
2018-01-10 07:22:40,65,"[20, 21, 33, 24]"
