,10,14,21,22,23,25,27,29,31,32
11,20.66,77.21,47.74,78.86,62.52,89.4,25.36,30.74,67.19,41.25
17,46.86,30.08,49.35,37.57,71.71,31.93,53.16,47.3,29.58,64.49
20,39.13,55.88,23.12,59.21,53.85,59.86,37.23,33.41,38.41,40.25
24,37.07,62.65,38.51,68.56,62.98,68.6,39.38,32.6,45.02,30.77
26,61.14,19.4,60.81,23.92,72.46,20.11,64.15,60.13,37.27,80.66
28,61.36,47.15,47.71,47.68,62.71,52.61,59.83,56.19,37.21,65.02
30,64.97,38.93,52.25,33.66,66.2,31.45,67.93,59.52,26.08,73.46
33,40.14,78.88,45.35,83.66,73.08,84.52,36.07,32.49,60.14,9.42
34,37.83,63.76,43.42,68.65,79.59,72.29,40.13,12.36,44.78,33.67
