date,date_index,group
2018-01-10 08:57:00,78,"[17, 27]"
2018-01-10 08:57:00,78,"[33, 32]"
2018-01-10 08:59:30,79,"[17, 27]"
2018-01-10 08:59:30,79,"[20, 24]"
2018-01-10 09:02:30,81,"[17, 27]"
2018-01-10 09:02:30,81,"[24, 33, 32]"
2018-01-10 09:03:00,82,"[24, 29, 14, 33, 32]"
2018-01-10 09:05:30,83,"[33, 14, 22, 32]"
2018-01-10 09:06:00,84,"[33, 29, 32]"
2018-01-10 09:08:30,85,"[33, 29, 34, 32]"
2018-01-10 09:09:00,86,"[33, 29, 34, 32]"
2018-01-10 09:11:30,87,"[20, 29, 21, 14, 34, 33, 32]"
2018-01-10 09:12:00,88,"[20, 29, 24, 21, 14, 34, 33, 32]"
2018-01-10 09:14:30,89,"[20, 14, 21, 24]"
2018-01-10 09:14:30,89,"[33, 29, 34, 32]"
2018-01-10 09:15:00,90,"[20, 29, 24, 22, 21, 14, 34, 33, 32]"
2018-01-10 09:17:30,91,"[17, 29, 27, 24, 21, 20, 34, 33, 32]"
2018-01-10 09:18:00,92,"[20, 29, 27, 24, 21, 34, 33, 32]"
2018-01-10 09:20:30,93,"[20, 29, 27, 24, 21, 34, 33, 32]"
2018-01-10 09:21:00,94,"[20, 29, 27, 24, 21, 34]"
2018-01-10 09:23:30,95,"[20, 27, 24, 21, 14, 33, 32]"
2018-01-10 09:23:30,95,"[34, 29]"
2018-01-10 09:24:00,96,"[20, 29, 21, 14, 34, 33, 32]"
2018-01-10 09:26:30,97,"[20, 21, 32]"
2018-01-10 09:26:30,97,"[33, 29, 34]"
2018-01-10 09:27:00,98,"[20, 29, 21, 34, 33, 32]"
2018-01-10 09:29:30,99,"[20, 21, 33, 24]"
2018-01-10 09:30:00,100,"[20, 21]"
2018-01-10 09:30:00,100,"[24, 33]"
2018-01-10 09:32:30,101,"[20, 21]"
2018-01-10 09:33:00,102,"[20, 21, 33, 24]"
2018-01-10 09:35:30,103,"[20, 21, 33, 24]"
2018-01-10 09:36:00,104,"[20, 21]"
2018-01-10 09:36:00,104,"[24, 33]"
2018-01-10 09:38:30,105,"[20, 21]"
2018-01-10 09:38:30,105,"[33, 32]"
2018-01-10 09:39:00,106,"[20, 21, 33, 32]"
2018-01-10 09:41:30,107,"[20, 27]"
2018-01-10 09:41:30,107,"[24, 33, 32]"
2018-01-10 09:42:00,108,"[24, 10, 32]"
2018-01-10 09:44:30,109,"[11, 24, 10, 33, 32]"
2018-01-10 09:45:00,110,"[33, 32]"
2018-01-10 09:47:30,111,"[20, 33, 32]"
2018-01-10 09:48:00,112,"[24, 33, 32]"
2018-01-10 09:50:30,113,"[20, 27]"
2018-01-10 09:50:30,113,"[24, 32]"
2018-01-10 09:51:00,114,"[20, 27]"
2018-01-10 09:51:00,114,"[24, 33]"
2018-01-10 09:53:30,115,"[20, 24]"
2018-01-10 09:53:30,115,"[33, 32]"
2018-01-10 09:54:00,116,"[20, 27, 24, 14, 33, 32]"
2018-01-10 09:56:30,117,"[11, 24, 20, 14, 10]"
2018-01-10 09:57:00,118,"[11, 24, 20, 14, 10]"
2018-01-10 09:59:30,119,"[20, 14, 21]"
2018-01-10 09:59:30,119,"[24, 10]"
2018-01-10 10:00:00,120,"[24, 10]"
2018-01-10 10:02:30,121,"[20, 14, 21]"
2018-01-10 10:03:00,122,"[20, 21]"
2018-01-10 10:05:30,123,"[20, 21]"
2018-01-10 10:06:00,124,"[20, 14, 21]"
2018-01-10 10:08:30,125,"[20, 14, 22, 21]"
2018-01-10 10:08:30,125,"[24, 23]"
2018-01-10 10:09:00,126,"[20, 14, 21]"
2018-01-10 10:11:30,127,"[20, 29, 27, 24, 22, 21, 14, 34]"
2018-01-10 10:12:00,128,"[34, 29, 27]"
2018-01-10 10:12:00,128,"[14, 22]"
2018-01-10 10:14:30,129,"[34, 29, 27]"
2018-01-10 10:15:00,130,"[34, 29, 27]"
2018-01-10 10:17:30,131,"[34, 29, 27]"
2018-01-10 10:18:00,132,"[34, 29]"
2018-01-10 10:20:30,133,"[14, 22]"
2018-01-10 10:20:30,133,"[27, 29]"
2018-01-10 10:21:00,134,"[34, 29, 27]"
2018-01-10 10:21:00,134,"[14, 22]"
2018-01-10 10:23:30,135,"[33, 29, 34, 32]"
2018-01-10 10:24:00,136,"[17, 14]"
2018-01-10 10:24:00,136,"[33, 29, 27, 34, 32]"
2018-01-10 10:26:30,137,"[17, 14]"
2018-01-10 10:26:30,137,"[33, 29, 27, 34, 32]"
2018-01-10 10:27:00,138,"[17, 14]"
2018-01-10 10:27:00,138,"[33, 29, 27, 34, 32]"
2018-01-10 10:29:30,139,"[17, 14]"
2018-01-10 10:29:30,139,"[34, 29, 27, 32]"
2018-01-10 10:30:00,140,"[17, 22]"
2018-01-10 10:30:00,140,"[33, 29, 27, 34, 32]"
2018-01-10 10:32:30,141,"[33, 29, 27, 34, 32]"
2018-01-10 10:33:00,142,"[33, 29, 27, 34, 32]"
2018-01-10 10:35:30,143,"[33, 29, 27, 34, 32]"
2018-01-10 10:36:00,144,"[33, 29, 27, 34, 32]"
2018-01-10 10:38:30,145,"[33, 29, 27, 34, 32]"
2018-01-10 10:39:00,146,"[34, 29, 27]"
2018-01-10 10:41:30,147,"[24, 31, 30]"
2018-01-10 10:41:30,147,"[34, 29, 27]"
2018-01-10 10:42:00,148,"[34, 29]"
2018-01-10 10:44:30,149,"[24, 23]"
2018-01-10 10:44:30,149,"[34, 29]"
2018-01-10 10:45:00,150,"[17, 31, 24, 23, 22]"
2018-01-10 10:45:00,150,"[34, 29]"
2018-01-10 10:47:30,151,"[24, 23, 22]"
2018-01-10 10:47:30,151,"[34, 29, 27]"
2018-01-10 10:48:00,152,"[24, 29, 27, 22, 14, 34]"
2018-01-10 10:50:30,153,"[24, 29, 27, 22, 34]"
2018-01-10 10:51:00,154,"[24, 31, 30, 29, 27, 34, 33, 32]"
2018-01-10 10:53:30,155,"[17, 31, 30]"
2018-01-10 10:53:30,155,"[24, 29, 27, 33, 32]"
2018-01-10 10:54:00,156,"[17, 31, 30, 29, 27, 24, 20, 33, 32]"
2018-01-10 10:56:30,157,"[24, 29, 27, 33, 32]"
2018-01-10 10:57:00,158,"[20, 31, 30, 29, 27, 24, 23, 34, 32]"
2018-01-10 10:59:30,159,"[20, 29, 27, 21, 34]"
2018-01-10 10:59:30,159,"[24, 31]"
2018-01-10 11:00:00,160,"[17, 24]"
2018-01-10 11:00:00,160,"[20, 29, 21, 34]"
2018-01-10 11:02:30,161,"[20, 29, 21, 34]"
2018-01-10 11:03:00,162,"[20, 29, 21, 24]"
2018-01-10 11:05:30,163,"[20, 29, 27, 24, 21, 34]"
2018-01-10 11:06:00,164,"[20, 29, 27, 34]"
2018-01-10 11:06:00,164,"[24, 31]"
2018-01-10 11:08:30,165,"[17, 31, 29, 27, 24, 20]"
2018-01-10 11:09:00,166,"[20, 29, 27, 24, 34]"
2018-01-10 11:09:00,166,"[30, 31]"
2018-01-10 11:11:30,167,"[20, 29, 21, 34]"
2018-01-10 11:12:00,168,"[20, 29, 24, 21, 34]"
2018-01-10 11:14:30,169,"[20, 29, 24, 21, 34]"
2018-01-10 11:15:00,170,"[20, 21]"
2018-01-10 11:15:00,170,"[30, 31, 27]"
2018-01-10 11:17:30,171,"[20, 21]"
2018-01-10 11:18:00,172,"[17, 31, 30]"
2018-01-10 11:18:00,172,"[20, 21, 33, 32]"
2018-01-10 11:20:30,173,"[20, 21, 33, 32]"
2018-01-10 11:20:30,173,"[30, 14, 22]"
2018-01-10 11:21:00,174,"[20, 21, 33, 32]"
2018-01-10 11:21:00,174,"[14, 22]"
2018-01-10 11:23:30,175,"[17, 31, 21, 20, 14, 33, 32]"
2018-01-10 11:24:00,176,"[17, 31, 30, 21, 20, 33, 32]"
2018-01-10 11:26:30,177,"[17, 31, 21, 20, 33, 32]"
2018-01-10 11:27:00,178,"[17, 31, 21, 20, 33, 32]"
2018-01-10 11:29:30,179,"[17, 31, 21, 20, 33, 32]"
2018-01-10 11:30:00,180,"[17, 21, 20, 14, 33, 32]"
2018-01-10 11:32:30,181,"[17, 31, 30, 21, 20, 14, 33, 32]"
2018-01-10 11:33:00,182,"[17, 31, 21, 20, 14, 33, 32]"
2018-01-10 11:35:30,183,"[20, 31, 30, 21, 14, 33, 32]"
2018-01-10 11:36:00,184,"[20, 31, 21, 33, 32]"
2018-01-10 11:38:30,185,"[17, 31, 21, 20, 33, 32]"
2018-01-10 11:39:00,186,"[17, 31, 21, 20, 14, 33, 32]"
2018-01-10 11:41:30,187,"[17, 31, 21, 20, 14, 33, 32]"
2018-01-10 11:42:00,188,"[17, 31, 20, 33, 32]"
2018-01-10 11:44:30,189,"[17, 31, 22, 20, 33, 32]"
2018-01-10 11:45:00,190,"[20, 31, 22, 21]"
2018-01-10 11:45:00,190,"[33, 32]"
2018-01-10 11:47:30,191,"[20, 31, 30, 21]"
2018-01-10 11:47:30,191,"[33, 32]"
2018-01-10 11:48:00,192,"[20, 31, 30, 22, 21]"
2018-01-10 11:50:30,193,"[20, 31, 30, 21]"
2018-01-10 11:51:00,194,"[17, 31, 30, 21, 20]"
2018-01-10 11:53:30,195,"[17, 22, 21, 20, 33, 32]"
2018-01-10 11:54:00,196,"[17, 22]"
2018-01-10 11:54:00,196,"[33, 32]"
2018-01-10 11:57:00,198,"[17, 22]"
2018-01-10 11:57:00,198,"[33, 32]"
2018-01-10 11:59:30,199,"[17, 14, 22]"
2018-01-10 11:59:30,199,"[33, 32]"
2018-01-10 12:00:00,200,"[33, 32]"
2018-01-10 12:00:00,200,"[14, 22]"
