day,tag,0,0_v1,0
2018-01-14,21,2018-01-14 02:43:01,02:30:50,2018-01-14 02:57:35
2018-01-14,22,2018-01-14 04:37:53,00:30:30,2018-01-14 07:02:45
2018-01-14,23,2018-01-14 01:56:18,05:14:20,2018-01-14 06:27:10
2018-01-14,24,2018-01-14 05:51:50,01:49:20,2018-01-14 06:06:19
2018-01-14,25,2018-01-14 08:55:22,08:26:50,2018-01-14 08:55:14
2018-01-14,26,2018-01-14 08:55:50,07:40:05,2018-01-14 08:45:46
2018-01-14,27,2018-01-14 02:29:10,05:58:35,2018-01-14 05:15:21
2018-01-14,29,2018-01-14 00:12:32,00:05:20,2018-01-14 03:52:25
2018-01-14,31,undefined,05:24:40,undefined
2018-01-14,32,2018-01-14 06:26:47,06:18:20,2018-01-14 06:56:46
2018-01-14,33,2018-01-14 06:21:36,06:27:35,2018-01-14 06:20:07
2018-01-14,34,2018-01-14 01:14:25,04:34:10,2018-01-14 00:38:48
2018-01-15,11,undefined,05:46:40,undefined
2018-01-15,14,2018-01-15 05:40:07,08:27:05,2018-01-15 07:52:58
2018-01-15,17,2018-01-15 05:59:02,03:10:00,2018-01-15 03:10:07
2018-01-15,20,2018-01-15 01:58:23,05:39:10,2018-01-15 08:24:23
2018-01-15,21,2018-01-15 04:25:02,05:20:40,2018-01-15 05:50:05
2018-01-15,22,2018-01-15 02:19:37,05:08:25,2018-01-15 02:19:37
2018-01-15,23,2018-01-15 06:23:43,05:50:20,2018-01-15 06:23:43
2018-01-15,24,2018-01-15 05:50:07,05:39:50,2018-01-15 05:45:59
2018-01-15,25,undefined,08:45:50,undefined
2018-01-15,26,2018-01-15 08:45:29,08:50:50,2018-01-15 08:21:34
2018-01-15,27,2018-01-15 01:55:33,03:55:50,2018-01-15 05:50:57
2018-01-15,28,2018-01-15 08:31:59,07:29:05,2018-01-15 07:48:30
2018-01-15,29,2018-01-15 01:17:02,05:45:10,2018-01-15 06:00:40
2018-01-15,30,2018-01-15 06:26:11,06:19:00,2018-01-15 06:26:11
2018-01-15,31,2018-01-15 06:19:11,06:13:40,2018-01-15 06:19:11
2018-01-15,32,2018-01-15 06:23:39,06:34:55,2018-01-15 05:13:06
2018-01-15,33,2018-01-15 06:20:23,04:59:40,2018-01-15 06:20:23
2018-01-15,34,2018-01-15 05:43:08,03:06:50,2018-01-15 04:56:39
2018-01-16,10,undefined,08:14:55,undefined
2018-01-16,11,undefined,08:16:00,undefined
2018-01-16,14,2018-01-16 00:12:39,00:14:00,2018-01-16 00:17:49
2018-01-16,15,undefined,00:36:50,undefined
2018-01-16,17,2018-01-16 00:26:57,05:21:15,2018-01-16 05:30:57
2018-01-16,20,2018-01-16 04:46:02,03:29:30,2018-01-16 04:10:03
2018-01-16,21,2018-01-16 05:23:09,00:33:00,2018-01-16 00:34:19
2018-01-16,22,2018-01-16 07:28:45,05:12:50,2018-01-16 07:32:05
2018-01-16,23,2018-01-16 06:14:27,05:27:30,2018-01-16 05:27:49
2018-01-16,24,2018-01-16 05:40:11,05:27:10,2018-01-16 05:24:12
2018-01-16,25,undefined,07:55:05,undefined
2018-01-16,26,undefined,07:52:15,undefined
2018-01-16,27,2018-01-16 01:15:14,01:07:05,2018-01-16 07:31:59
2018-01-16,28,2018-01-16 05:52:18,04:59:40,2018-01-16 06:33:58
2018-01-16,29,2018-01-16 00:35:12,05:27:35,2018-01-16 05:19:23
2018-01-16,31,2018-01-16 07:43:32,06:13:10,2018-01-16 07:43:32
2018-01-16,32,2018-01-16 05:23:29,05:22:20,2018-01-16 05:20:11
2018-01-16,33,2018-01-16 05:40:51,05:40:05,2018-01-16 05:27:34
2018-01-16,34,2018-01-16 04:01:54,03:57:25,2018-01-16 05:40:10
2018-01-17,14,2018-01-17 07:08:50,05:43:45,2018-01-17 07:21:46
2018-01-17,17,2018-01-17 03:28:58,03:31:50,2018-01-17 03:26:53
2018-01-17,20,2018-01-17 05:31:04,05:49:25,2018-01-17 05:27:58
2018-01-17,21,2018-01-17 05:04:43,04:42:35,2018-01-17 05:10:37
2018-01-17,22,2018-01-17 04:05:54,05:14:30,2018-01-17 08:03:46
2018-01-17,23,2018-01-17 06:56:40,05:39:20,2018-01-17 06:54:29
2018-01-17,24,2018-01-17 05:44:59,05:35:15,2018-01-17 05:39:10
2018-01-17,25,undefined,05:55:20,undefined
2018-01-17,26,undefined,07:07:45,2018-01-17 07:22:24
2018-01-17,27,2018-01-17 03:51:22,05:39:00,2018-01-17 06:16:13
2018-01-17,28,2018-01-17 05:58:06,04:54:45,2018-01-17 05:58:06
2018-01-17,29,2018-01-17 06:07:49,05:45:35,2018-01-17 06:08:14
