tag,total
10,3582
11,2792
14,16835
17,26871
20,44929
21,23645
22,9320
23,6475
24,32805
25,3594
26,7672
27,17823
28,7916
29,18465
30,20549
31,20561
32,37808
33,43213
34,18647
