,10,14,21,22,23,25,27,29,31,32
11,1010,4511,6449,3209,2228,1722,4436,4665,5019,9358
17,6881,9143,10625,8115,7556,7076,9167,9245,9404,12713
20,10100,11764,10419,11056,10619,10388,11715,11977,12317,14491
24,8019,9889,11546,9160,7737,8335,9844,10107,10105,13228
26,3025,5919,7655,4446,3716,2461,6053,6065,6640,10161
28,2396,5250,7178,4096,3271,2784,5337,5424,5931,10108
30,5336,7887,9712,6867,5988,5541,7894,8136,7374,12053
33,10245,12030,12986,11114,10510,10293,12065,12061,12361,11021
34,4872,7307,9066,6395,5477,5180,7071,5170,8338,11575
