,10,14,21,22,23,25,27,29,31,32
11,332,1560,2302,1242,835,709,1416,1512,1633,3026
17,2316,2959,3479,2747,2553,2418,2929,2975,3031,3922
20,3096,3560,3146,3415,3287,3242,3502,3584,3674,4248
24,2562,3138,3646,2964,2503,2750,3033,3137,3128,3986
26,1108,2028,2704,1655,1387,910,2016,2028,2252,3255
28,760,1732,2449,1448,1107,990,1642,1709,1879,3166
30,1759,2579,3221,2369,2014,1905,2477,2567,2347,3719
33,3236,3699,3988,3507,3321,3288,3677,3670,3742,3329
34,1579,2345,2973,2175,1841,1771,2210,1600,2650,3597
