,10,14,21,22,23,25,27,29,31,32
11,1818,8026,11159,5455,3843,2898,8061,8443,9058,16829
17,12217,16480,18918,14366,13405,12506,16595,16747,17002,23190
20,18717,21830,19503,20413,19587,19146,21844,22359,22964,27086
24,14483,17931,20841,16441,13937,14894,18032,18497,18422,24322
26,5124,10379,13171,7503,6262,4136,10728,10758,11702,18203
28,4356,9466,12602,7173,5805,4901,9805,9880,10779,18360
30,9580,14182,17297,12115,10662,9820,14391,14837,13364,21989
33,18697,22081,23734,20249,19145,18719,22294,22281,22826,20534
34,8775,13173,16117,11343,9738,9174,12961,9562,15110,21038
