,10,14,21,22,23,25,27,29,31,32
11,572,2619,3804,1953,1335,1076,2483,2613,2826,5275
17,3943,5146,6031,4658,4340,4079,5132,5181,5277,7016
20,5535,6428,5655,6084,5852,5741,6352,6497,6672,7809
24,4501,5549,6471,5163,4370,4752,5435,5583,5597,7226
26,1806,3433,4508,2661,2238,1474,3459,3457,3813,5709
28,1338,2990,4155,2387,1879,1631,2940,3007,3298,5615
30,3026,4467,5530,3965,3427,3189,4382,4522,4121,6645
33,5697,6627,7170,6185,5845,5757,6608,6597,6753,6004
34,2745,4115,5159,3676,3135,2988,3919,2833,4653,6417
