,10,14,21,22,23,25,27,29,31,32
11,412,1919,2817,1486,1011,829,1784,1886,2057,3781
17,2889,3715,4375,3414,3192,3004,3708,3741,3820,4976
20,3931,4545,3988,4338,4182,4099,4475,4577,4703,5461
24,3236,3960,4628,3728,3155,3447,3860,3977,3990,5085
26,1364,2522,3342,2019,1710,1115,2532,2525,2816,4100
28,959,2159,3041,1771,1382,1206,2093,2158,2371,4000
30,2212,3240,4027,2947,2532,2366,3148,3253,2981,4725
33,4056,4683,5061,4415,4175,4103,4666,4665,4760,4225
34,1983,2958,3739,2699,2302,2196,2796,2021,3358,4575
