,10,14,21,22,23,25,27,29,31,32,11,17,20,24,26,28,30,33,34
10,127,10,10,6,1,0,86,41,13,27,103,24,21,45,3,8,12,31,45
14,10,313,65,28,32,8,73,24,168,33,12,50,127,53,16,77,105,42,23
21,10,65,457,17,30,7,56,35,124,131,8,82,382,106,12,43,83,132,39
22,6,28,17,178,20,6,7,7,37,15,4,25,33,46,22,21,24,16,17
23,1,32,30,20,170,1,36,13,54,14,0,17,37,124,1,14,46,18,10
25,0,8,7,6,1,65,0,1,3,6,1,27,11,2,44,7,7,8,6
27,86,73,56,7,36,0,345,87,55,97,86,31,98,110,0,32,62,118,86
29,41,24,35,7,13,1,87,298,38,102,46,31,81,69,5,21,18,123,259
31,13,168,124,37,54,3,55,38,728,152,11,223,226,233,8,82,370,155,52
32,27,33,131,15,14,6,97,102,152,768,24,153,234,215,21,22,97,659,104
11,103,12,8,4,0,1,86,46,11,24,118,25,18,43,1,5,4,27,47
17,24,50,82,25,17,27,31,31,223,153,25,513,174,220,35,50,166,163,39
20,21,127,382,33,37,11,98,81,226,234,18,174,724,213,31,73,154,244,81
24,45,53,106,46,124,2,110,69,233,215,43,220,213,700,4,34,172,224,78
26,3,16,12,22,1,44,0,5,8,21,1,35,31,4,152,9,28,24,16
28,8,77,43,21,14,7,32,21,82,22,5,50,73,34,9,184,57,30,30
30,12,105,83,24,46,7,62,18,370,97,4,166,154,172,28,57,662,113,28
33,31,42,132,16,18,8,118,123,155,659,27,163,244,224,24,30,113,852,120
34,45,23,39,17,10,6,86,259,52,104,47,39,81,78,16,30,28,120,335
