,10,14,21,22,23,25,27,29,31,32,11,17,20,24,26,28,30,33,34
10,171,28,68,9,9,7,33,51,43,42,110,59,84,49,8,57,39,53,48
14,28,413,80,69,14,68,33,55,106,52,28,167,119,55,86,103,130,66,57
21,68,80,749,58,30,43,99,150,81,253,66,145,619,161,74,93,65,282,136
22,9,69,58,333,16,63,35,34,51,40,4,119,102,58,99,69,77,39,36
23,9,14,30,16,169,10,21,22,26,52,8,34,48,114,11,26,15,49,21
25,7,68,43,63,10,233,11,33,28,18,7,74,70,20,173,18,66,24,30
27,33,33,99,35,21,11,379,114,48,120,35,81,137,85,34,26,25,141,103
29,51,55,150,34,22,33,114,540,51,161,59,112,239,126,52,54,57,206,409
31,43,106,81,51,26,28,48,51,462,115,50,121,142,87,43,101,149,126,41
32,42,52,253,40,52,18,120,161,115,1008,41,107,348,260,52,36,49,868,147
11,110,28,66,4,8,7,35,59,50,41,164,57,82,40,7,46,51,52,60
17,59,167,145,119,34,74,81,112,121,107,57,697,208,141,128,143,139,148,111
20,84,119,619,102,48,70,137,239,142,348,82,208,1053,256,122,133,123,394,221
24,49,55,161,58,114,20,85,126,87,260,40,141,256,715,51,76,55,291,103
26,8,86,74,99,11,173,34,52,43,52,7,128,122,51,406,23,86,64,52
28,57,103,93,69,26,18,26,54,101,36,46,143,133,76,23,328,46,59,57
30,39,130,65,77,15,66,25,57,149,49,51,139,123,55,86,46,441,67,56
33,53,66,282,39,49,24,141,206,126,868,52,148,394,291,64,59,67,1106,174
34,48,57,136,36,21,30,103,409,41,147,60,111,221,103,52,57,56,174,508
