,10,14,21,22,23,25,27,29,31,32
11,6437,6878,6967,6717,6584,6474,6768,6783,6524,7060
17,6886,7153,7226,7017,6972,6902,7084,7080,6926,7285
20,7156,7332,7169,7257,7209,7180,7262,7277,7175,7391
24,7043,7238,7298,7180,7028,7058,7152,7176,7073,7310
26,6519,6927,7014,6768,6661,6510,6822,6843,6591,7097
28,6610,6969,7049,6833,6734,6633,6874,6904,6670,7143
30,6614,6966,7066,6845,6735,6629,6872,6874,6654,7146
33,7100,7328,7316,7226,7144,7127,7206,7248,7135,7139
34,6820,7115,7150,7010,6895,6840,7030,6844,6864,7251
