,10,14,21,22,23,25,27,29,31,32
11,6526,6700,6911,6664,6564,6621,6680,6819,6797,7123
17,6892,6953,7135,6939,6886,6928,6950,7073,7070,7299
20,7091,7156,7106,7144,7102,7122,7148,7222,7219,7406
24,6875,6954,7133,6900,6820,6902,6944,7041,7028,7265
26,6724,6816,7013,6747,6678,6642,6816,6913,6915,7163
28,6664,6747,6959,6718,6651,6705,6736,6875,6840,7211
30,6780,6859,7064,6825,6770,6790,6874,6994,6913,7240
33,7150,7207,7297,7173,7121,7143,7201,7271,7227,7177
34,6808,6895,7085,6862,6800,6821,6866,6813,7028,7267
