,10,14,21,22,23,25,27,29,31,32
11,6423,6688,6829,6648,6504,6511,6641,6661,6729,7029
17,6969,7094,7183,7093,7006,7004,7091,7075,7121,7250
20,7032,7171,7051,7131,7080,7084,7139,7169,7159,7326
24,6882,7028,7138,7016,6892,6949,6974,7034,7008,7270
26,6665,6859,6999,6839,6726,6648,6859,6858,6962,7131
28,6423,6686,6822,6634,6491,6498,6635,6659,6726,7022
30,6783,6981,7049,6957,6827,6835,6937,6944,6929,7193
33,7066,7182,7252,7151,7099,7072,7190,7192,7181,7108
34,6676,6868,6994,6875,6740,6758,6799,6702,6956,7174
