,10,14,21,22,23,25,27,29,31,32
11,9631,9991,10186,9932,9736,9736,9935,9968,10050,10486
17,10365,10554,10692,10550,10416,10411,10545,10525,10592,10810
20,10493,10691,10531,10631,10557,10561,10656,10689,10680,10936
24,10266,10479,10636,10450,10281,10348,10398,10485,10454,10837
26,9959,10233,10429,10201,10039,9937,10231,10232,10369,10634
28,9631,9988,10174,9914,9719,9719,9926,9963,10047,10477
30,10113,10393,10498,10352,10176,10175,10334,10356,10327,10725
33,10529,10705,10812,10650,10572,10537,10714,10723,10711,10606
34,9982,10249,10429,10253,10068,10082,10161,10028,10371,10697
