,10,14,21,22,23,25,27,29,31,32
11,9774,10002,10295,9949,9813,9892,9979,10177,10154,10596
17,10255,10351,10602,10311,10238,10303,10336,10520,10518,10845
20,10578,10665,10595,10642,10585,10611,10655,10766,10763,11037
24,10251,10357,10622,10284,10170,10282,10343,10489,10469,10814
26,10026,10153,10427,10048,9956,9914,10155,10298,10296,10653
28,9969,10080,10370,10032,9944,10021,10068,10260,10227,10728
30,10108,10222,10504,10161,10086,10116,10245,10415,10307,10761
33,10655,10732,10872,10688,10609,10648,10731,10837,10774,10703
34,10174,10288,10554,10237,10150,10189,10250,10180,10479,10809
