,10,14,21,22,23,25,27,29,31,32
11,9651,10244,10348,10005,9840,9685,10108,10118,9759,10524
17,10257,10634,10726,10438,10381,10270,10547,10536,10314,10845
20,10666,10924,10703,10804,10732,10696,10831,10847,10696,11014
24,10495,10779,10856,10682,10471,10510,10670,10692,10535,10902
26,9754,10313,10415,10081,9938,9739,10185,10198,9850,10580
28,9890,10384,10473,10178,10053,9912,10264,10289,9967,10653
30,9894,10376,10502,10190,10055,9909,10259,10251,9946,10659
33,10575,10912,10891,10747,10641,10609,10734,10790,10628,10647
34,10172,10586,10625,10432,10269,10190,10478,10211,10229,10791
