,10,14,21,22,23,25,27,29,31,32
11,9704,9954,10100,9830,9865,9735,10004,9903,10244,10377
17,10126,10305,10420,10190,10228,10083,10369,10276,10437,10571
20,10322,10410,10318,10365,10385,10299,10479,10443,10648,10661
24,10340,10453,10557,10361,10298,10321,10498,10460,10580,10683
26,9751,9964,10083,9798,9839,9679,10058,9910,10271,10324
28,9819,9983,10129,9873,9896,9774,10064,9943,10279,10354
30,10248,10406,10515,10310,10309,10223,10427,10370,10494,10710
33,10439,10531,10628,10442,10460,10382,10612,10505,10749,10466
34,9901,10060,10236,9965,9967,9880,10110,9871,10375,10436
