,10,14,21,22,23,25,27,29,31,32
11,140,368,538,272,276,182,370,358,765,856
17,587,738,853,647,651,546,771,731,946,1043
20,789,862,768,825,837,766,908,899,1158,1127
24,766,848,976,799,728,761,872,880,1051,1159
26,275,448,572,305,315,168,497,426,863,842
28,281,410,581,336,335,241,458,393,807,862
30,734,852,990,809,765,718,850,847,999,1194
33,936,1006,1082,932,945,872,1051,988,1259,935
34,395,533,723,463,462,386,548,360,934,955
