Date,Time,Tag ID,Power
26/01/2018,11:19:17,30,48
26/01/2018,11:19:20,22,48
26/01/2018,11:19:22,30,51
26/01/2018,11:19:32,30,50
26/01/2018,11:19:37,30,48
26/01/2018,11:19:39,22,52
26/01/2018,11:19:41,30,50
26/01/2018,11:19:46,30,48
26/01/2018,11:19:52,30,51
26/01/2018,11:19:55,22,61
26/01/2018,11:19:56,30,52
26/01/2018,11:20:01,30,50
26/01/2018,11:20:05,22,44
26/01/2018,11:20:07,30,49
26/01/2018,11:20:10,22,59
26/01/2018,11:20:12,30,50
26/01/2018,11:20:15,22,60
26/01/2018,11:20:17,30,50
26/01/2018,11:20:20,22,60
26/01/2018,11:20:22,30,47
26/01/2018,11:20:25,22,60
26/01/2018,11:20:27,30,46
26/01/2018,11:20:30,22,59
26/01/2018,11:20:32,30,47
26/01/2018,11:20:35,22,60
26/01/2018,11:20:36,30,52
26/01/2018,11:20:39,22,62
26/01/2018,11:20:41,30,59
26/01/2018,11:20:45,22,63
26/01/2018,11:20:47,30,65
26/01/2018,11:20:50,22,60
26/01/2018,11:20:51,30,67
26/01/2018,11:20:54,22,63
26/01/2018,11:20:56,30,62
26/01/2018,11:21:00,22,62
26/01/2018,11:21:02,30,64
26/01/2018,11:21:05,22,61
26/01/2018,11:21:07,30,65
26/01/2018,11:21:10,22,64
26/01/2018,11:21:12,30,58
26/01/2018,11:21:15,22,61
26/01/2018,11:21:17,30,64
26/01/2018,11:21:20,22,62
26/01/2018,11:21:22,30,62
26/01/2018,11:21:25,22,56
26/01/2018,11:21:27,30,61
26/01/2018,11:21:30,22,55
26/01/2018,11:21:31,30,58
26/01/2018,11:21:34,22,58
26/01/2018,11:21:36,30,62
26/01/2018,11:21:40,22,59
26/01/2018,11:21:42,30,65
26/01/2018,11:21:45,22,54
26/01/2018,11:21:47,30,66
26/01/2018,11:21:49,22,59
26/01/2018,11:21:51,30,66
26/01/2018,11:21:54,22,58
26/01/2018,11:21:57,30,67
26/01/2018,11:22:00,22,59
26/01/2018,11:22:02,30,67
26/01/2018,11:22:05,22,57
26/01/2018,11:22:07,30,68
26/01/2018,11:22:10,22,58
26/01/2018,11:22:12,30,66
26/01/2018,11:22:15,22,65
26/01/2018,11:22:17,30,65
26/01/2018,11:22:20,22,61
26/01/2018,11:22:22,30,66
26/01/2018,11:22:25,22,60
26/01/2018,11:22:27,30,68
26/01/2018,11:22:29,22,62
26/01/2018,11:22:31,30,67
26/01/2018,11:22:34,22,62
26/01/2018,11:22:37,30,68
26/01/2018,11:22:40,22,62
26/01/2018,11:22:42,30,67
26/01/2018,11:22:44,22,62
26/01/2018,11:22:46,30,56
26/01/2018,11:22:49,22,62
26/01/2018,11:22:52,30,64
26/01/2018,11:22:55,22,65
26/01/2018,11:22:57,30,64
26/01/2018,11:23:00,999,69
26/01/2018,11:23:02,30,66
26/01/2018,11:23:05,22,66
26/01/2018,11:23:07,30,65
26/01/2018,11:23:10,22,63
26/01/2018,11:23:12,30,67
26/01/2018,11:23:15,22,66
26/01/2018,11:23:17,30,67
26/01/2018,11:23:20,22,63
26/01/2018,11:23:22,30,68
26/01/2018,11:23:24,22,62
26/01/2018,11:23:26,30,65
26/01/2018,11:23:29,22,62
26/01/2018,11:23:32,30,62
26/01/2018,11:23:35,22,61
26/01/2018,11:23:37,30,65
26/01/2018,11:23:41,30,65
26/01/2018,11:23:44,22,61
26/01/2018,11:23:46,30,62
26/01/2018,11:23:50,22,62
26/01/2018,11:23:52,30,62
26/01/2018,11:23:55,22,62
