Date,Time,Tag ID,Power
02/06/2018,12:02:59,18,255
02/06/2018,12:03:04,18,255
02/06/2018,12:03:09,18,160
02/06/2018,12:03:14,18,150
02/06/2018,12:03:19,18,126
02/06/2018,12:03:24,18,158
02/06/2018,12:03:26,999,70
02/06/2018,12:03:28,999,66
02/06/2018,12:03:29,18,122
02/06/2018,12:03:32,999,78
02/06/2018,12:03:52,999,53
02/06/2018,12:03:55,999,22
02/06/2018,12:03:57,999,69
02/06/2018,12:03:59,18,167
02/06/2018,12:04:04,18,146
02/06/2018,12:04:09,18,100
02/06/2018,12:04:14,18,79
02/06/2018,12:04:17,999,23
02/06/2018,12:04:19,18,207
02/06/2018,12:04:19,999,58
02/06/2018,12:04:19,999,70
02/06/2018,12:04:24,18,212
02/06/2018,12:04:29,18,215
02/06/2018,12:04:34,18,204
02/06/2018,12:04:39,999,103
02/06/2018,12:04:41,999,97
02/06/2018,12:04:46,999,93
02/06/2018,12:04:49,18,205
02/06/2018,12:04:54,18,191
02/06/2018,12:04:59,18,195
02/06/2018,12:05:04,18,200
02/06/2018,12:05:09,18,253
02/06/2018,12:05:19,18,96
02/06/2018,12:05:24,18,111
02/06/2018,12:05:29,18,146
02/06/2018,12:05:34,18,165
02/06/2018,12:05:38,18,168
02/06/2018,12:05:43,18,203
02/06/2018,12:05:48,18,228
02/06/2018,12:05:53,18,194
02/06/2018,12:05:58,18,189
02/06/2018,12:06:03,18,53
02/06/2018,12:06:06,999,19
02/06/2018,12:06:09,999,162
02/06/2018,12:06:11,999,95
02/06/2018,12:06:13,999,83
02/06/2018,12:06:13,999,37
02/06/2018,12:06:13,18,90
02/06/2018,12:06:18,18,122
02/06/2018,12:06:23,18,167
02/06/2018,12:06:33,999,56
02/06/2018,12:06:33,999,53
02/06/2018,12:06:35,999,56
02/06/2018,12:06:38,999,68
02/06/2018,12:06:43,18,180
02/06/2018,12:06:48,18,188
02/06/2018,12:06:53,18,255
02/06/2018,12:06:55,999,143
02/06/2018,12:06:58,999,164
02/06/2018,12:06:58,18,245
02/06/2018,12:07:00,999,163
02/06/2018,12:07:02,999,82
02/06/2018,12:07:02,999,169
02/06/2018,12:07:03,18,251
02/06/2018,12:07:08,18,242
02/06/2018,12:07:13,18,243
02/06/2018,12:07:18,18,242
02/06/2018,12:07:20,999,178
02/06/2018,12:07:23,999,107
02/06/2018,12:07:23,18,234
02/06/2018,12:07:25,999,177
02/06/2018,12:07:27,999,172
02/06/2018,12:07:27,999,166
02/06/2018,12:07:28,18,237
02/06/2018,12:07:33,18,237
02/06/2018,12:07:38,18,231
02/06/2018,12:07:43,18,237
02/06/2018,12:07:48,18,228
02/06/2018,12:07:53,18,243
02/06/2018,12:07:58,18,247
02/06/2018,12:08:03,18,246
02/06/2018,12:08:08,18,245
02/06/2018,12:08:13,18,252
02/06/2018,12:08:19,999,163
02/06/2018,12:08:23,999,195
02/06/2018,12:08:23,18,244
02/06/2018,12:08:25,999,205
02/06/2018,12:08:28,18,254
02/06/2018,12:08:33,18,253
02/06/2018,12:08:38,18,253
02/06/2018,12:08:43,18,253
02/06/2018,12:08:48,18,254
02/06/2018,12:08:53,18,253
02/06/2018,12:08:58,18,253
02/06/2018,12:09:03,18,251
02/06/2018,12:09:08,18,254
02/06/2018,12:09:13,18,254
02/06/2018,12:09:18,18,253
02/06/2018,12:09:23,18,254
02/06/2018,12:09:28,18,252
02/06/2018,12:09:33,18,254
02/06/2018,12:09:38,18,253
02/06/2018,12:09:43,18,254
02/06/2018,12:09:48,18,254
02/06/2018,12:09:53,18,254
02/06/2018,12:09:58,18,254
02/06/2018,12:10:03,18,245
02/06/2018,12:10:08,18,241
02/06/2018,12:10:13,18,253
02/06/2018,12:10:18,18,251
02/06/2018,12:10:23,18,251
02/06/2018,12:10:28,18,253
02/06/2018,12:10:33,18,247
02/06/2018,12:10:38,18,249
02/06/2018,12:10:43,18,254
02/06/2018,12:10:48,18,241
02/06/2018,12:10:53,999,162
02/06/2018,12:10:53,18,255
02/06/2018,12:10:55,999,148
02/06/2018,12:10:57,999,151
02/06/2018,12:10:58,18,232
02/06/2018,12:11:00,999,139
02/06/2018,12:11:03,18,219
02/06/2018,12:11:08,18,251
02/06/2018,12:11:13,18,233
02/06/2018,12:11:17,999,94
02/06/2018,12:11:17,999,83
02/06/2018,12:11:18,18,185
02/06/2018,12:11:20,999,91
02/06/2018,12:11:23,18,165
02/06/2018,12:11:24,999,104
02/06/2018,12:11:28,18,170
02/06/2018,12:11:33,18,209
02/06/2018,12:11:38,18,215
02/06/2018,12:11:42,999,19
02/06/2018,12:11:43,18,212
02/06/2018,12:11:47,999,67
02/06/2018,12:11:48,18,60
02/06/2018,12:11:49,999,47
02/06/2018,12:11:53,18,149
02/06/2018,12:11:58,18,185
02/06/2018,12:12:03,18,154
02/06/2018,12:12:06,999,19
02/06/2018,12:12:08,18,170
02/06/2018,12:12:09,999,19
02/06/2018,12:12:11,999,79
02/06/2018,12:12:14,999,116
02/06/2018,12:12:18,18,225
02/06/2018,12:12:23,18,229
02/06/2018,12:12:28,18,226
02/06/2018,12:12:33,18,225
02/06/2018,12:12:43,18,196
02/06/2018,12:12:48,18,199
02/06/2018,12:12:53,18,186
02/06/2018,12:12:58,18,180
02/06/2018,12:13:03,18,188
02/06/2018,12:13:05,999,42
02/06/2018,12:13:08,999,62
02/06/2018,12:13:08,18,208
02/06/2018,12:13:13,999,13
02/06/2018,12:13:13,18,196
02/06/2018,12:13:18,18,188
02/06/2018,12:13:23,18,186
02/06/2018,12:13:28,18,188
02/06/2018,12:13:33,18,192
02/06/2018,12:13:38,18,214
02/06/2018,12:13:43,18,190
02/06/2018,12:13:48,18,159
02/06/2018,12:13:53,18,175
02/06/2018,12:13:58,18,194
02/06/2018,12:14:03,18,205
02/06/2018,12:14:08,18,189
02/06/2018,12:14:13,18,175
02/06/2018,12:14:18,18,96
02/06/2018,12:14:23,18,180
02/06/2018,12:14:28,18,134
02/06/2018,12:14:33,18,176
02/06/2018,12:14:38,18,176
02/06/2018,12:14:42,999,44
02/06/2018,12:14:45,999,52
02/06/2018,12:14:47,999,67
02/06/2018,12:14:49,999,77
02/06/2018,12:14:54,999,64
02/06/2018,12:14:58,18,87
02/06/2018,12:14:59,999,59
02/06/2018,12:15:01,999,73
02/06/2018,12:15:03,18,154
02/06/2018,12:15:07,999,74
02/06/2018,12:15:08,18,200
02/06/2018,12:15:09,999,29
02/06/2018,12:15:13,18,81
02/06/2018,12:15:14,999,22
02/06/2018,12:15:18,18,41
02/06/2018,12:15:19,999,26
02/06/2018,12:15:23,18,112
02/06/2018,12:15:28,18,61
02/06/2018,12:15:33,18,116
02/06/2018,12:15:34,999,40
02/06/2018,12:15:39,999,31
02/06/2018,12:15:43,18,133
02/06/2018,12:15:48,18,36
02/06/2018,12:15:53,18,77
02/06/2018,12:15:58,18,196
02/06/2018,12:16:03,18,244
02/06/2018,12:16:08,18,252
02/06/2018,12:16:13,18,211
02/06/2018,12:16:18,18,85
02/06/2018,12:16:23,18,189
02/06/2018,12:16:28,18,59
02/06/2018,12:16:33,18,206
02/06/2018,12:16:38,18,160
02/06/2018,12:16:43,18,175
02/06/2018,12:16:48,18,186
02/06/2018,12:16:49,999,30
02/06/2018,12:16:52,999,117
02/06/2018,12:16:53,18,181
02/06/2018,12:16:54,999,66
02/06/2018,12:16:56,999,111
02/06/2018,12:16:58,18,192
02/06/2018,12:17:03,18,212
02/06/2018,12:17:08,18,213
02/06/2018,12:17:13,18,178
02/06/2018,12:17:16,999,122
02/06/2018,14:13:44,18,251
02/06/2018,14:13:49,18,236
02/06/2018,14:13:54,18,237
02/06/2018,14:13:59,18,236
02/06/2018,14:14:04,18,234
02/06/2018,14:14:09,18,234
02/06/2018,14:14:14,18,225
02/06/2018,14:14:19,18,228
02/06/2018,14:14:24,18,255
02/06/2018,14:14:29,18,255
02/06/2018,14:14:34,18,255
02/06/2018,14:14:39,18,255
02/06/2018,14:14:44,18,255
02/06/2018,14:14:49,18,255
02/06/2018,14:14:54,18,255
02/06/2018,14:14:59,18,255
02/06/2018,14:15:04,18,255
02/06/2018,14:15:09,18,255
02/06/2018,14:15:14,18,255
02/06/2018,14:15:19,18,255
02/06/2018,14:15:24,18,255
02/06/2018,14:15:29,18,255
02/06/2018,14:15:34,18,255
02/06/2018,14:15:39,18,255
02/06/2018,14:15:44,18,255
02/06/2018,14:15:49,18,255
02/06/2018,14:15:54,18,255
02/06/2018,14:15:59,18,255
02/06/2018,14:16:04,18,255
02/06/2018,14:16:09,18,255
02/06/2018,14:16:14,18,255
02/06/2018,14:16:19,18,255
02/06/2018,14:16:24,18,255
02/06/2018,14:16:29,999,19
02/06/2018,14:16:34,18,255
02/06/2018,14:16:39,18,255
02/06/2018,14:16:44,18,255
02/06/2018,14:16:46,999,64
02/06/2018,14:16:49,18,255
02/06/2018,14:16:50,999,43
02/06/2018,14:16:53,999,41
02/06/2018,14:16:54,18,255
02/06/2018,14:16:59,18,255
02/06/2018,14:17:04,18,255
02/06/2018,14:17:09,18,255
02/06/2018,14:17:13,999,59
02/06/2018,14:17:14,18,255
02/06/2018,14:17:15,999,89
02/06/2018,14:17:17,999,76
02/06/2018,14:17:19,18,255
02/06/2018,14:17:24,18,255
02/06/2018,14:17:29,18,255
02/06/2018,14:17:34,18,255
02/06/2018,14:17:39,18,255
02/06/2018,14:17:44,18,255
02/06/2018,14:17:49,18,255
02/06/2018,14:17:54,18,255
02/06/2018,14:17:59,18,255
02/06/2018,14:18:04,18,255
02/06/2018,14:18:09,18,255
02/06/2018,14:18:14,18,255
02/06/2018,14:18:19,18,255
02/06/2018,14:18:24,18,255
02/06/2018,14:18:29,18,255
02/06/2018,14:18:34,18,255
02/06/2018,14:18:39,18,255
02/06/2018,14:18:44,18,255
02/06/2018,14:18:47,999,90
02/06/2018,14:18:49,18,255
02/06/2018,14:18:49,999,62
02/06/2018,14:18:50,999,23
02/06/2018,14:18:52,999,44
02/06/2018,14:18:54,18,255
02/06/2018,14:18:54,999,51
02/06/2018,14:18:59,18,255
02/06/2018,14:19:04,18,255
02/06/2018,14:19:09,18,255
02/06/2018,14:19:14,18,255
02/06/2018,14:19:19,18,255
02/06/2018,14:19:24,18,255
02/06/2018,14:19:29,18,255
02/06/2018,14:19:34,18,255
02/06/2018,14:19:39,18,255
02/06/2018,14:19:44,18,255
02/06/2018,14:19:49,18,255
02/06/2018,14:19:54,18,255
02/06/2018,14:19:58,18,255
02/06/2018,14:20:03,18,255
02/06/2018,14:20:08,18,255
02/06/2018,14:20:13,18,255
02/06/2018,14:20:18,18,255
02/06/2018,14:20:23,18,255
02/06/2018,14:20:28,18,255
02/06/2018,14:20:33,18,255
02/06/2018,14:20:38,18,255
02/06/2018,14:20:43,18,255
02/06/2018,14:20:48,18,255
02/06/2018,14:20:53,18,255
02/06/2018,14:20:58,18,255
02/06/2018,14:21:03,18,255
02/06/2018,14:21:08,18,255
02/06/2018,14:21:13,18,255
02/06/2018,14:21:18,18,255
02/06/2018,14:21:23,18,255
02/06/2018,14:21:28,18,255
02/06/2018,14:21:33,18,255
02/06/2018,14:21:38,18,255
02/06/2018,14:21:43,18,255
02/06/2018,14:21:48,18,255
02/06/2018,14:21:53,18,255
02/06/2018,14:21:58,18,255
02/06/2018,14:22:03,18,255
02/06/2018,14:22:08,18,255
02/06/2018,14:22:13,18,255
02/06/2018,14:22:18,18,255
02/06/2018,14:22:23,18,255
02/06/2018,14:22:28,18,255
02/06/2018,14:22:33,18,255
02/06/2018,14:22:38,18,255
02/06/2018,14:22:43,18,255
02/06/2018,14:22:48,18,255
02/06/2018,14:22:53,18,255
02/06/2018,14:22:58,18,255
02/06/2018,14:23:03,18,255
02/06/2018,14:23:08,18,255
02/06/2018,14:23:13,18,255
02/06/2018,14:23:18,18,255
02/06/2018,14:23:23,999,100
02/06/2018,14:23:28,18,204
02/06/2018,14:23:33,18,255
02/06/2018,14:23:38,18,255
02/06/2018,14:23:43,18,255
02/06/2018,14:23:48,18,255
02/06/2018,14:23:53,18,255
02/06/2018,14:23:58,18,255
02/06/2018,14:24:03,18,255
02/06/2018,14:24:08,18,255
02/06/2018,14:24:13,18,255
02/06/2018,14:24:18,18,255
02/06/2018,14:24:23,18,255
02/06/2018,14:24:28,18,255
02/06/2018,14:24:33,18,255
02/06/2018,14:24:38,18,255
02/06/2018,14:24:43,18,255
02/06/2018,14:24:48,18,255
02/06/2018,14:24:53,18,255
02/06/2018,14:24:58,18,255
02/06/2018,14:25:03,18,255
02/06/2018,14:25:08,18,255
02/06/2018,14:25:13,18,255
02/06/2018,14:25:18,18,255
02/06/2018,14:25:23,18,255
02/06/2018,14:25:28,18,255
02/06/2018,14:25:33,18,255
02/06/2018,14:25:38,18,255
02/06/2018,14:25:43,18,255
02/06/2018,14:25:48,18,255
02/06/2018,14:25:53,18,255
02/06/2018,14:25:58,18,255
02/06/2018,14:26:03,18,255
02/06/2018,14:26:08,18,255
02/06/2018,14:26:13,18,255
02/06/2018,14:26:18,18,255
02/06/2018,14:26:23,18,253
02/06/2018,14:26:28,18,193
02/06/2018,14:26:33,18,255
02/06/2018,14:26:38,18,255
02/06/2018,14:26:43,18,250
02/06/2018,14:26:48,18,251
02/06/2018,14:26:53,18,254
02/06/2018,14:26:58,18,239
02/06/2018,14:27:03,18,238
02/06/2018,14:27:08,18,251
02/06/2018,14:27:13,18,212
02/06/2018,14:27:18,18,171
02/06/2018,14:27:23,18,196
02/06/2018,14:27:28,18,255
02/06/2018,14:27:33,18,255
02/06/2018,14:27:38,18,255
02/06/2018,14:27:43,18,255
02/06/2018,14:27:48,18,255
02/06/2018,14:27:53,18,255
02/06/2018,14:27:58,18,255
02/06/2018,14:28:03,18,255
02/06/2018,14:28:08,18,254
02/06/2018,14:28:13,18,253
02/06/2018,14:28:18,18,255
02/06/2018,14:28:23,18,255
02/06/2018,14:28:28,18,255
02/06/2018,14:28:33,18,255
02/06/2018,14:28:38,18,255
02/06/2018,14:28:43,18,255
02/06/2018,14:28:48,18,255
02/06/2018,14:28:53,18,255
02/06/2018,14:28:58,18,255
02/06/2018,14:29:03,18,255
02/06/2018,14:29:08,18,255
02/06/2018,14:29:13,18,207
02/06/2018,14:29:18,18,143
02/06/2018,14:29:23,18,255
02/06/2018,14:29:28,18,131
02/06/2018,14:29:33,18,255
02/06/2018,14:29:38,18,242
02/06/2018,14:29:43,18,192
02/06/2018,14:29:48,18,255
02/06/2018,14:29:53,18,255
02/06/2018,14:29:58,18,255
02/06/2018,14:30:03,18,255
02/06/2018,14:30:08,18,254
02/06/2018,14:30:13,18,253
02/06/2018,14:30:18,18,242
02/06/2018,14:30:23,18,253
02/06/2018,14:30:28,18,199
02/06/2018,14:30:33,18,238
02/06/2018,14:30:38,18,236
02/06/2018,14:30:43,18,199
02/06/2018,14:30:48,18,218
02/06/2018,14:30:53,18,251
02/06/2018,14:30:58,18,255
02/06/2018,14:31:03,18,255
02/06/2018,14:31:08,18,250
02/06/2018,14:31:13,18,244
02/06/2018,14:31:18,18,234
02/06/2018,14:31:23,18,239
02/06/2018,14:31:28,18,246
02/06/2018,14:31:33,18,245
02/06/2018,14:31:38,18,247
02/06/2018,14:31:43,18,246
02/06/2018,14:31:48,18,247
02/06/2018,14:31:53,18,248
02/06/2018,14:31:58,18,245
02/06/2018,14:32:03,18,245
02/06/2018,14:32:08,18,205
02/06/2018,14:32:13,18,212
02/06/2018,14:32:18,18,217
02/06/2018,14:32:23,18,212
02/06/2018,14:32:28,18,252
02/06/2018,14:32:33,18,253
02/06/2018,14:32:38,18,252
02/06/2018,14:32:43,18,254
02/06/2018,14:32:48,18,254
02/06/2018,14:32:53,18,253
02/06/2018,14:32:58,18,220
02/06/2018,14:33:03,18,244
02/06/2018,14:33:08,18,241
02/06/2018,14:33:13,18,238
02/06/2018,14:33:18,18,241
02/06/2018,14:33:23,18,239
02/06/2018,14:33:28,18,236
02/06/2018,14:33:33,18,236
02/06/2018,14:33:38,18,239
02/06/2018,14:33:43,18,255
02/06/2018,14:33:48,18,255
02/06/2018,14:33:53,18,255
02/06/2018,14:33:58,18,255
02/06/2018,14:34:03,18,255
02/06/2018,14:34:08,18,255
02/06/2018,14:34:13,18,255
02/06/2018,14:34:18,18,255
02/06/2018,14:34:23,18,255
02/06/2018,14:34:28,18,246
02/06/2018,14:34:33,18,255
02/06/2018,14:34:38,18,216
02/06/2018,14:34:43,18,251
02/06/2018,14:34:48,18,255
02/06/2018,14:34:53,18,255
02/06/2018,14:34:58,18,255
02/06/2018,14:35:03,18,255
02/06/2018,14:35:08,18,255
02/06/2018,14:35:13,18,255
02/06/2018,14:35:18,18,236
02/06/2018,14:35:23,18,250
02/06/2018,14:35:28,18,221
02/06/2018,14:35:33,18,255
02/06/2018,14:35:38,18,255
02/06/2018,14:35:43,18,224
02/06/2018,14:35:48,18,255
02/06/2018,14:35:53,18,232
02/06/2018,14:35:58,18,231
02/06/2018,14:36:03,18,226
02/06/2018,14:36:08,18,194
02/06/2018,14:36:13,18,240
02/06/2018,14:36:18,18,252
02/06/2018,14:36:23,18,253
02/06/2018,14:36:28,18,255
02/06/2018,14:36:33,18,254
02/06/2018,14:36:38,18,255
02/06/2018,14:36:43,18,255
02/06/2018,14:36:48,18,255
02/06/2018,14:36:53,18,255
02/06/2018,14:36:58,18,255
02/06/2018,14:37:03,18,255
02/06/2018,14:37:08,18,255
02/06/2018,14:37:13,18,254
02/06/2018,14:37:18,18,254
